Команда,Поточний рейтинг,Гра 1 Результат,Гра 1 Місце,Гра 1 μ,Гра 1 σ,Гра 1 Рейтинг,Гра 2 Результат,Гра 2 Місце,Гра 2 μ,Гра 2 σ,Гра 2 Рейтинг,Гра 3 Результат,Гра 3 Місце,Гра 3 μ (×2),Гра 3 σ (×2),Гра 3 Рейтинг (×2),Гра 4 Результат,Гра 4 Місце,Гра 4 μ,Гра 4 σ,Гра 4 Рейтинг,Гра 5 Результат,Гра 5 Місце,Гра 5 μ,Гра 5 σ,Гра 5 Рейтинг,Гра 6 Результат,Гра 6 Місце,Гра 6 μ (×2),Гра 6 σ (×2),Гра 6 Рейтинг (×2),Гра 7 Результат,Гра 7 Місце,Гра 7 μ,Гра 7 σ,Гра 7 Рейтинг,Гра 8 Результат,Гра 8 Місце,Гра 8 μ,Гра 8 σ,Гра 8 Рейтинг,Гра 9 Результат,Гра 9 Місце,Гра 9 μ (×2),Гра 9 σ (×2),Гра 9 Рейтинг (×2),Гра 10 Результат,Гра 10 Місце,Гра 10 μ,Гра 10 σ,Гра 10 Рейтинг,Гра 11 Результат,Гра 11 Місце,Гра 11 μ,Гра 11 σ,Гра 11 Рейтинг,Гра 12 Результат,Гра 12 Місце,Гра 12 μ (×2),Гра 12 σ (×2),Гра 12 Рейтинг (×2)
Мінус один,1556.82,27,4,46.7328,7.2875,1160.79,27,18,51.4048,6.3284,1193.74,37,4,70.5719,5.5036,1297.82,22,2,77.6233,5.2400,1335.72,32,1,85.4061,4.9766,1377.26,49.01,1,95.6958,4.6631,1431.85,24,3,98.4950,4.5486,1446.99,30,1,102.4692,4.4289,1468.06,40.01,2,108.9111,4.2222,1502.33,31,1,111.4661,4.1470,1515.86,30,1,113.5909,4.0883,1527.07,78,1,119.2322,3.9337,1556.82
Смажені цвяхи,1510.50,23,10,36.5056,7.2875,1109.65,30,3,58.0360,6.2983,1227.20,37,4,75.4515,5.5033,1322.22,20,4,80.9082,5.2476,1352.06,27,5,85.5571,4.9898,1377.89,49,2,95.0074,4.6737,1428.30,21,8,95.4020,4.5577,1431.43,26,5,97.4231,4.4342,1442.77,40,3,103.6621,4.2184,1476.13,24,10,103.2434,4.1401,1474.82,28,3,104.8121,4.0775,1483.29,63.01,3,109.9235,3.9122,1510.50
Номер 6,1508.15,28,1,49.2896,7.2875,1173.57,28,14,56.7650,6.3385,1220.44,36,6,72.7262,5.5232,1308.40,18,8,76.2044,5.2602,1328.42,30,3,83.1581,4.9909,1365.88,45,5,89.8684,4.6685,1402.66,22,6,91.7531,4.5484,1413.28,29,2,95.7139,4.4220,1434.35,41,1,103.4799,4.2059,1475.34,26,6,104.3967,4.1282,1480.70,26,5,105.2807,4.0667,1485.74,63,4,109.4362,3.9031,1508.15
Lorem City,1452.72,22,15,32.6704,7.2875,1090.48,29,7,49.7851,6.2916,1186.01,39,2,72.3537,5.4790,1306.98,16,10,74.4122,5.2217,1319.84,27,5,79.6641,4.9550,1348.77,47.01,3,88.8745,4.6342,1398.03,21,8,89.5780,4.5160,1402.73,24,11,89.7866,4.3903,1405.03,35,6,94.2641,4.1686,1429.63,26,6,95.5247,4.0879,1436.74,28,3,97.3011,4.0241,1446.27,57,11,98.2529,3.8548,1452.72
seꑭes,1447.72,28,1,49.2896,7.2875,1173.57,,,,,,33,9,61.9446,6.0460,1249.26,,,,,,,,,,,45,5,75.4850,5.4317,1323.11,24,3,80.7663,5.2241,1351.59,,,,,,34,8,85.8962,4.8348,1381.13,27,4,89.1499,4.7017,1398.73,,,,,,65,2,98.3890,4.4227,1447.72
Kéisécker,1407.22,23,10,36.5056,7.2875,1109.65,,,,,,40,1,71.1539,6.0349,1295.42,14,15,68.7013,5.6871,1286.64,25,16,69.3004,5.3274,1293.23,44,7,76.9849,4.9099,1335.83,21,8,78.5020,4.7583,1344.93,26,5,81.7930,4.5994,1362.97,29,14,81.6209,4.3309,1364.80,26,6,83.5508,4.2335,1375.42,29,2,86.3978,4.1568,1390.42,58,9,89.3599,3.9580,1407.22
Зненацька,1403.75,,,,,,,,,,,38,3,68.2976,6.5151,1276.34,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,85.6766,5.7480,1370.90,,,,,,,,,,,58,9,91.2170,5.2334,1403.75
Nervous Energy,1390.05,24,7,41.6192,7.2875,1135.22,29,7,56.4317,6.3112,1219.05,34,7,70.4185,5.5028,1297.06,22,2,77.4826,5.2390,1335.02,24,19,75.2828,4.9756,1326.66,47,4,84.2722,4.6432,1374.93,19,13,83.6104,4.5206,1372.85,26,5,86.2725,4.3890,1387.47,28,16,84.6119,4.1605,1381.45,24,10,84.9680,4.0756,1384.08,23,12,84.1308,4.0079,1380.58,55,12,85.6631,3.8269,1390.05
Гря хм гагага,1381.63,20,21,23.0824,7.2875,1042.54,29,7,42.6924,6.2863,1150.60,32,16,48.5051,5.4501,1188.02,24,1,58.4482,5.1681,1240.56,27,5,65.2709,4.8834,1277.52,39,13,66.9517,4.5529,1289.23,19,13,67.2623,4.4264,1292.05,24,11,68.7738,4.2909,1300.96,34,8,73.5874,4.0602,1327.34,31,1,77.3179,3.9773,1346.82,25,7,78.5595,3.9119,1353.68,60,6,83.8042,3.7396,1381.63
Західний полюс,1351.83,21,16,28.8352,7.2875,1071.30,,,,,,,,,,,16,10,40.3597,6.5842,1135.96,26,9,50.2971,5.9446,1192.04,39,13,55.6350,5.3404,1224.77,26,1,63.6289,5.1271,1266.87,27,4,69.8967,4.9118,1300.37,,,,,,22,15,69.2563,4.7619,1298.66,,,,,,63,4,79.2521,4.4433,1351.83
